 ,Image,Area,Mean,Min,Max,StDev,CamModel
1,200_deg_neutral.jpg,14400,36.544,31.655,87.228,4.931,InfraCAM Wester
2,20120726211114!Thermal_image_of_four_ducks_swimming.jpg,14400,10.056,7.248,23.228,2.328,FLIR_i7
3,AFCIs_Infrared.jpg,4800,9.911,4.069,17.878,2.132,FLIR C2
4,Aqua_Tower_thermal_image.jpg,32400,-9.790,-67.585,-0.172,10.199,Flir b60
5,Aqua_Tower_thermal_imaging.jpg,32400,-18.830,-71.352,3.674,21.048,Flir b60
6,BillHotFlashThermography.jpg,76800,27.698,19.799,37.140,5.409,ThermaCAM EX320
7,Image_thermique_de_l'émission_d'un_radiateur_à_travers_un_mur.jpg,19200,-0.737,-7.028,9.574,4.177,FLIR E30bx
8,Infrared_image_of_people_in_the_laboratory.jpg,32400,22.288,18.579,34.272,3.506,FLIR i60
9,IRWater.jpg,307200,21.504,17.265,35.371,3.660,ThermaCAM SC640
10,IR_Fussbodenheizung.jpg,76800,19.884,16.726,34.439,1.184,FLIR E60
11,IR_moving_car.jpg,76800,4.166,-10.246,14.963,2.542,FLIR E60
12,IR_moving_mercedes.jpg,76800,3.027,-16.792,19.325,2.681,FLIR E60
13,Kujawy_wiatrak.jpg,76800,-21.048,-43.774,2.508,15.405,FLIR T440 (incl Wi-
14,Linear_load.jpg,14400,36.312,30.005,89.107,5.741,InfraCAM Wester
15,Man_in_water_-_IR_image.jpg,307200,6.607,1.177,26.922,1.205,FLIR P640
16,Solar_halo_thermal.jpg,76800,-28.771,-35.297,-8.023,2.867,FLIR T420 (incl Wi-
17,Steam_Train_Valves_Thermal_Image.jpg,307200,102.713,33.254,187.947,54.604,FLIR T420 (incl Wi-
18,Termografía.jpg,14400,24.833,22.228,29.236,1.127,InfraCAM Wester
19,Thermal_image_of_a_group_of_grey-headed_flying_foxes_during_an_extreme_temperature_event.jpg,76800,44.680,23.360,49.720,1.190,FLIR E60bx
20,Thermal_image_of_a_juvenile_grey-headed_flying_fox_during_an_extreme_temperature_event.jpg,76800,39.922,29.746,46.310,1.795,FLIR E60bx
21,Thermogramme_infiltrométrie.jpg,76800,15.478,11.696,17.665,0.868,FLIR B360_ Western
22,Thermographie_de_rue.jpg,19200,6.774,4.921,22.711,1.581,FLIR E30bx
23,Thermographie_photovoltaique.jpg,19200,-10.065,-48.918,17.629,18.816,FLIR E30bx
24,Videocamera_Termica.jpg,19200,25.482,18.774,35.606,3.399,FLIR E40
25,Windmill_Thermal_Image.jpg,76800,18.761,7.151,24.239,3.054,FLIR E60
